Timestamp: 2023-06-19T11:10:27+08:00
Carpark Number,Total Lots,Lots Available
CKM6,935,774
GM6A,167,81
SB41,464,293
W785,487,336
CK72,680,527
U56,1004,647
S109,481,382
S110,315,179
BTM3,360,144
U57,1070,434
CKM3,456,341
W783,390,155
TGM4,388,306
Y69M,350,258
Y70M,1248,929
Y71M,423,323
SE9,470,313
BJ60,920,812
C15M,289,218
HG3B,432,314
HG3D,267,155
CK9A,372,252
SGTM,429,265
TPL,18,0
J5,192,153
S108,900,646
SK98,816,524
S106,478,398
BJ57,24,5
S104,339,218
S105,367,271
SK99,824,603
BM10,2000,1778
BM13,117,21
PL75,579,404
PL78,472,308
PL77,376,255
TJ41,316,233
J49M,423,355
TJ42,126,99
CK73,501,365
U64,382,254
W691,333,261
W693,322,219
W694,313,244
SB37,719,506
SB39,273,212
SB36,279,197
SB38,666,534
SB40,263,198
Y77L,2,1
Y77M,423,280
Y78M,216,144
A33,2,0
AM64,552,411
S100,1104,786
PL70,773,518
HG2A,408,294
HG2C,483,377
HRM,751,558
MM6,413,300
TM52,496,377
HG2D,36,7
J44,200,146
U66,452,331
U65,391,249
W182,425,312
W185,540,412
Y73M,762,552
Y74M,379,295
Y75M,379,327
Y76M,421,284
SB42,395,294
S36L,4,3
S38L,8,5
S40L,4,1
Y79L,8,0
U63,83,28
B44B,102,73
C28M,305,243
TWM4,200,150
U54,235,204
J8M,139,114
Y35,402,260
W100,282,131
W546,631,488
BM30,40,40
BA1,278,168
U68,258,172
SB35,549,419
J29,467,291
J74M,72,43
NT3,796,521
TM53,343,279
T47,669,426
T47A,172,135
TBL,1000,994
TBM8,960,670
C3ML,10,9
BA2,361,207
K52,102,66
W574,479,292
SE52,21,18
S111,570,357
SK52,770,564
TM46,762,553
NT1,469,321
NT2,601,447
NTL,19,0
JS3L,2010,1978
SB44,505,379
NT4,528,388
DWVT,318,246
SE5L,59,40
HG18,242,163
P12,124,75
BA3,622,373
SK97,47,16
S113,426,310
S13L,11,1
S14L,9,1
B10M,303,277
PDQ5,135,58
SAM,327,241
PD8W,290,225
PDC4,178,140
PDJ3,212,78
PDJ7,316,133
PDP4,167,106
PDW5,270,148
PDW8,390,305
JS4L,12,3
SB45,416,287
SB46,443,327
C19M,84,68
B98,473,339
U70,805,672
SB43,202,158
Q41,90,50
SK53,770,557
CKT2,81,34
TM54,265,174
JS5L,30,1
C2M,776,183
TRM,77,61
S39L,5,4
HG3L,725,525
HG3E,299,226
HG1,164,86
AM14,350,231
CR1A,22,4
CR1B,20,6
U69,389,272
B48B,73,43
TM55,298,204
T58,99,48
HG1E,306,202
NT6,502,376
BJAL,38,32
DWSP,604,362
Y82M,343,258
BJBL,13,3
PDL2,278,48
NT5,1489,1022
A61,1129,658
Y38,648,223
BA4,964,631
JS1L,10,2
A26,333,245
B65M,679,495
B65L,5,0
MP1,44,25
BE3,306,177
BE3R,195,130
B8B,249,158
BA6,500,427
BA8,352,304
BA7,508,424
SS1L,4,2
