Timestamp: 2023-06-20T23:01:26+08:00
Carpark Number,Total Lots,Lots Available
W785,487,225
CK72,680,302
U56,1004,296
S109,481,301
S110,315,179
BTM3,360,144
U57,1070,1069
CKM3,456,191
W783,390,155
TGM4,388,199
Y69M,350,170
Y70M,1248,550
Y71M,423,209
SE9,470,230
BJ60,920,631
C15M,289,163
HG3B,432,252
HG3D,267,90
CK9A,372,98
SGTM,429,131
TPL,18,0
J5,192,114
S108,900,407
SK98,816,233
S106,478,295
BJ57,24,0
S104,339,132
S105,367,189
SK99,824,316
BM10,2000,1751
BM13,117,0
PL75,579,209
PL78,472,155
PL77,376,156
TJ41,316,148
J49M,423,285
TJ42,126,65
CK73,501,221
U64,382,142
W691,333,181
W693,322,137
W694,313,174
SB37,719,367
SB39,273,148
SB36,279,104
SB38,666,367
SB40,263,160
Y77L,2,1
Y77M,423,209
Y78M,216,72
A33,2,0
AM64,552,316
S100,1104,498
PL70,773,301
HG2A,408,150
HG2C,483,270
HRM,751,405
MM6,413,177
TM52,496,290
HG2D,36,7
J44,200,54
U66,452,217
U65,391,99
W182,425,193
W185,540,259
Y73M,762,386
Y74M,379,221
Y75M,379,327
Y76M,421,146
SB42,395,214
S36L,4,3
S38L,8,3
S40L,4,2
Y79L,8,4
U63,83,18
B44B,102,49
C28M,305,210
TWM4,200,120
U54,235,177
J8M,139,86
Y35,402,94
W100,282,0
W546,631,343
BA1,278,91
U68,258,97
SB35,549,273
J29,467,116
J74M,72,15
NT3,796,255
TM53,343,246
T47,669,241
T47A,172,107
TBL,1000,998
TBM8,960,399
C3ML,10,9
BA2,361,28
K52,102,45
W574,479,250
SE52,21,14
S111,570,164
SK52,770,418
TM46,762,380
NT1,469,192
NT2,601,227
NTL,19,3
JS3L,2010,1982
SB44,505,219
NT4,528,231
DWVT,318,201
SE5L,59,27
HG18,242,73
P12,124,97
BA3,622,190
SK97,47,1
S113,426,205
S13L,11,4
S14L,9,7
B10M,303,253
PDQ5,135,97
SAM,327,222
PD8W,290,241
PDC4,178,164
PDJ3,212,78
PDJ7,316,185
PDP4,167,95
PDW5,270,184
PDW8,390,257
TB28,18,15
BM20,24,8
JS4L,12,5
SB45,416,261
SB46,443,217
C19M,84,68
B98,473,243
U70,805,517
SB43,202,106
Q41,90,25
SK53,770,358
CKT2,81,12
TM54,265,93
JS5L,30,0
C2M,776,60
TRM,77,61
S39L,5,3
KTM,42,27
HG3L,725,259
HG3E,299,144
HG1,164,97
AM14,350,130
CR1A,22,6
CR1B,20,5
H12,113,49
U69,389,186
B48B,73,30
TM55,298,144
T58,99,34
HG1E,306,160
NT6,502,253
BJAL,38,24
DWSP,604,341
Y82M,343,171
C27,10,0
BJBL,13,7
PDL2,278,258
NT5,1489,601
A61,1129,566
Y38,648,85
M1,50,50
BA4,964,354
JS1L,10,3
A26,333,147
B65M,679,323
B65L,5,0
BE3,306,51
BE3R,195,102
B8B,249,110
BA6,500,408
BA8,352,261
BA7,508,357
SS1L,4,2
